老朽	老而 衰败 老朽 以终
风中之烛	风里 晃动 烛光 比喻 死亡 老年人 比喻 消灭 事物
枯木朽株	朽 腐烂 株 露出 地面 树桩 枯木 头烂 树根 比喻 衰朽 力量 衰老 无用
朽木粪土	朽木 烂 木头 粪土 脏土 臭泥 比喻 不堪造就 社会 用处
待业青年	NONE
务工青年	NONE
复员军人	NONE
转业军人	NONE
种子选手	能力 选手
编审	编辑 审查
指挥	发令 调度
封建把头	旧时 勾结 地方 官府 封建 势力 把持 一方 行业 剥削 奴役 工人 群众 搬运 行业 矿业 把头 包工头
开明绅士	抗   日   战争 第三次 国内革命战争 时期 地主 富农 阶级 中 带有 民主 色彩 人士
昏君	昏乱 君王
不管部长	NONE
带班	带领 一班人 工作
领班	班组 负责人
瓮中之鳖	困在 瓮中 甲鱼 比喻 之中 逃跑 东西
网中之鱼	NONE
涸辙之鲋	涸 干辙 车轮 辗过 痕迹 鲋 鲫鱼 水干 车 沟里 小鱼 比喻 困境 中 急待 援救
尊亲	敬称 父母
舍亲	人称 亲戚 谦词
至亲	亲近 亲戚
结发夫妻	结发 束发 意即 年轻 时 年轻 时 结成 夫妻 指 原配 夫妻
钦差大臣	指由 皇帝 派遣 代表 皇帝 外出 办理 重大事件 官员 讽刺 上级 机关 派到 情况 指手画脚 发号施令
钦差	旧指 皇帝 特命 外地 办事 官吏
乌合之众	暂时 聚合 一群 乌鸦 比喻 临时 杂凑 组织纪律 一群
住持	主持 佛寺 和尚 主持 道观 道士
方丈	一丈 见方
当家的	日常生活 中 口语 指 主持 家务
转世灵童	NONE
非法所得	非法所得 或称 不法 利益 不义之财 指 犯罪 所得 犯罪 所得 收受 犯罪 所得 赠与 黑吃黑 掠夺 犯罪 所得 司法 判刑 不法 所得 没收 加征 罚 锾 收受 不法 所得 视为 受益人 视同 共犯
酸根	NONE
四大发明	纸 印刷术 指南针 火药   中国   发明 相继 传入 世界各地   中国   世界 文明 四大 贡献 通称 四大发明
铜活	用于 建筑物 器物 铜制 物件
堆存	NONE
防洪设施	NONE
生活资料	生活 东西 食品 衣服 住房
消费资料	NONE
生活必需品	NONE
嫁妆	妇女 结婚 时 带到 丈夫 家里 钱物
妆奁	女子 梳妆 镜匣 借指 嫁妆
妆	修饰 打扮 化 ～～ 饰 点
陪嫁	嫁妆 女子 出嫁 时 娘家 东西 古代 女人 私人物品 称为 陪嫁 婆家 无权 动用 干涉 古代 侵占 媳妇 嫁妆 恶劣 名声 不利
陪送	动 结婚 时 娘家 送给 新娘 嫁妆
发梢	NONE
拉手	名 安装 门窗 抽屉 用手 开关 木条 金属物
扳手	一种 手工 工具 抓住 拧紧 螺栓 螺母 螺钉 头 管子 物件 指 用途 机动 工具 称 扳子
